GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff,Professional_Scientific_Technical,RetailTrade,Accommodation_FoodServices,Administrative _Support_WasteManagement_Remediation,Agriculture_Forestry_Fishing_Hunting,Arts_Entertainment_Recreation,Construction,EducationalServices,Finance_nsurance,HealthCare_SocialAssistance,Information,ManagementCompanies_Enterprises,Manufacturing,Other,PublicAdministration,RealEstate_Rental_Leasing,Transportation_Warehousing,Utilities,WholesaleTrade,Mining_Quarrying_Oil_Gas
90020,2011,22753,40596,1085,555200,8.1,0.170780372450488,34,38,4,0.0895454545454545,0.119431818181818,0.0493181818181818,0.253522727272727,0.00193181818181818,0.02375,0.0384090909090909,0.0172727272727273,0.0431818181818182,0.0859090909090909,0.0345454545454545,0.00193181818181818,0.0194318181818182,0.0959090909090909,0.00318181818181818,0.0460227272727273,0.0218181818181818,0.000340909090909091,0.0542045454545455,0.000340909090909091
90021,2011,12791,2603,422,489100,10.1,0.436803688052247,73,77,4,0.0647670450035717,0.239145963965394,0.0212715294864672,0.157552186681483,0.00579411064370188,0.01404873402651,0.0133343916183824,0.00452416858480832,0.0223827287879991,0.0103182792285102,0.0181760457179141,0.00214302722438289,0.109929359472974,0.0382570045241686,0.000714342408127629,0.0267481546154457,0.0266687832367648,7.93713786808477e-05,0.224065402016033,7.93713786808477e-05
90022,2011,16984,67322,895,345700,7.1,0.23282136597249,23,22,-1,0.0742622157716497,0.195573294629898,0.0430575713594582,0.156023222060958,0.00205611998064828,0.0135462022254475,0.0449927431059507,0.012699564586357,0.0446298984034833,0.081881954523464,0.0158442186744074,0.00157232704402516,0.0370101596516691,0.136792452830189,0.0071359458151911,0.0343492985002419,0.0394291243347847,0.000967585873246251,0.0579342041606193,0.000241896468311563
90023,2011,16660,44706,942,339400,4.6,0.327025455196171,25,36,11,0.0589526038619076,0.18314803978935,0.0288180222352253,0.160620245757753,0.00277940315974254,0.0130193095377414,0.0343768285547104,0.0114101813926273,0.0248683440608543,0.0533937975424225,0.0128730251609128,0.00102399063779988,0.113955529549444,0.107665301345816,0.00190169689877121,0.0298420128730252,0.0434464599180807,0.000292568753657109,0.117173785839672,0.000438853130485664
90024,2011,15572,49427,1746,1000001,4.9,0.22313715175916,81,94,13,0.148913108929969,0.0694887697958692,0.0322755464563136,0.207683506954899,0.00307099415908954,0.0367917143373276,0.0261335581381345,0.0164990666586379,0.0705124345155657,0.102246040826158,0.067923164930451,0.00614198831817908,0.019750707532968,0.0799060637080749,0.00283013187210213,0.0708135123743,0.00686457517914133,0.000240862286987415,0.0306497260191486,0.00126452700668393
90025,2011,40467,42653,1487,689200,5.6,0.116498253346775,171,142,-29,0.168522881416435,0.0677161419290355,0.0261297922467338,0.192867851788392,0.00364103662454487,0.0355179553080603,0.0309131148711359,0.0112086813735989,0.0784250731776969,0.102020418362247,0.0738916256157636,0.00492610837438424,0.0181337902477333,0.0677875348040266,0.0028200185621475,0.0714999643035625,0.00885271649889341,0.000428357249946455,0.0339830084957521,0.000713928749910759
90026,2011,22116,70052,1002,616700,9.6,0.205418831725004,40,32,-8,0.105481802582859,0.124627472229748,0.0407297028808814,0.272374243655739,0.00307053192450104,0.0333243023570848,0.0354014268942473,0.0131852253228574,0.0230289894337578,0.0633071435022126,0.0671904632890816,0.00135464643727987,0.023932087058611,0.103675607333153,0.00252867334958909,0.0367560733315271,0.016978235347241,0.000180619524970649,0.0327824437821729,9.03097624853247e-05
90027,2011,28340,45491,1125,829700,6.5,0.205073531028115,45,41,-4,0.102779864763336,0.0986476333583772,0.0420736288504884,0.249060856498873,0.002854996243426,0.0429000751314801,0.0299023290758828,0.0108940646130729,0.0290758827948911,0.0929376408715252,0.0881292261457551,0.00202854996243426,0.0205108940646131,0.0809917355371901,0.00157776108189331,0.0453794139744553,0.0225394440270473,0.000375657400450789,0.0368144252441773,0.000525920360631104
90028,2011,20788,27434,1015,645500,7.9,0.251731428154844,81,62,-19,0.124449920788594,0.113947075045473,0.0593792172739541,0.192747755676817,0.00252302998298422,0.0673003579182069,0.0254063251774922,0.0108548964384205,0.0297482837528604,0.0390189520624303,0.132899137475797,0.00264038021475092,0.0221205186880244,0.0719356920729918,0.00240567975121751,0.0512233761661679,0.0163116822155724,0.000352050695300123,0.0344422930235287,0.000293375579416769
90029,2011,18683,38563,933,550400,8.3,0.232269273656095,21,11,-10,0.0802042655452088,0.172874737158306,0.0521177530790027,0.207119255031541,0.00120156203063983,0.0256833884049264,0.0382997897266446,0.00901171522979874,0.0220787023130069,0.085461099429258,0.0488134574947432,0.000750976269149895,0.0241814358666266,0.123610693902073,0.00120156203063983,0.0364974466806849,0.0277861219585461,0.000450585761489937,0.0425052568338841,0.000150195253829979
