GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff
90240,2011,27621,25398,1173,510700,4.5,0.0862666351681235,26,33,7
90241,2011,26637,43558,1178,487100,7.8,0.108269433858304,38,47,9
90242,2011,26201,42373,1188,434000,7.4,0.129374837750454,38,20,-18
90245,2011,46779,16597,1452,790800,3.8,0.0346448153280713,68,69,1
90247,2011,21827,46729,1020,373900,6.8,0.210939673436196,30,35,5
90248,2011,28584,10268,1058,406100,6.3,0.0719711725749903,67,86,19
90249,2011,27444,26735,990,416800,6.5,0.130503085842529,40,20,-20
90250,2011,26036,93154,1000,466600,5.1,0.161131030336862,43,63,20
90254,2011,57855,19422,1796,1000001,4.5,0.0359901143033673,38,45,7
90255,2011,17252,76137,897,349900,7.4,0.254055189986472,25,20,-5
90260,2011,23865,34471,1330,422400,7.6,0.141307185750341,20,12,-8
90262,2011,18042,69643,989,350300,6.9,0.203408813520383,16,13,-3
90263,2011,3503,1710,,,2.2,0,,,
90265,2011,51382,17822,2001,1000001,4.4,0.06806194590955,31,36,5
90266,2011,65595,34986,2001,1000001,3.1,0.0316412279197393,45,64,19
90270,2011,17927,27454,962,320600,7.8,0.253733517884461,6,3,-3
90272,2011,66954,22765,2001,1000001,5.7,0.0407204041291456,26,47,21
90274,2011,66551,25319,2001,1000001,2.4,0.0222362652553418,26,40,14
90275,2011,52462,41712,2001,998500,3.3,0.0465093977752206,40,44,4
90277,2011,53466,34382,1701,857200,3.6,0.0463614682101099,57,67,10
90278,2011,50680,40661,1553,712400,4.6,0.0546223654115737,46,41,-5
90280,2011,19693,94586,987,339900,8.4,0.195124014124712,32,27,-5
90290,2011,50791,6820,1960,1000001,4.6,0.0717008797653959,9,8,-1
90291,2011,45193,26992,1502,1000001,6.9,0.113552163604031,62,43,-19
90292,2011,64920,22152,2001,743100,4.8,0.0799927771758758,73,78,5
90293,2011,51828,12833,1781,532700,3.1,0.0599236343801138,23,23,0
90301,2011,21103,37024,988,332300,8.1,0.230229040622299,43,44,1
90302,2011,25666,30729,1072,363200,5.7,0.179797585342836,17,16,-1
90303,2011,20734,26055,1036,365700,7,0.256726156208021,6,12,6
90304,2011,18288,26978,937,370000,5.8,0.282155830676848,15,8,-7
90305,2011,36930,14107,1162,413100,6.4,0.0918692847522507,13,11,-2
90401,2011,35442,6531,1290,688000,6.3,0.150972286020518,91,62,-29
90402,2011,74618,12615,1869,1000001,2.9,0.037970669837495,17,23,6
90403,2011,48245,24770,1541,919500,4.2,0.0827210335082761,68,48,-20
90404,2011,33013,20123,1324,614600,6.2,0.135765044973414,99,80,-19
90405,2011,47482,27350,1448,992200,7.2,0.12164533820841,84,64,-20
90501,2011,27460,41290,1153,548100,7.6,0.157713732138532,81,84,3
90502,2011,28040,16655,1160,378700,6.8,0.0685679975983188,38,38,0
90503,2011,38601,46402,1402,651500,4.7,0.0681005129089263,95,63,-32
90504,2011,33137,31463,1324,557800,5.9,0.0603883927152528,28,33,5
90505,2011,38284,35804,1432,716800,4.3,0.0802145011730533,80,73,-7
90506,2011,,0,,,,,,,
90601,2011,31317,32524,1206,472900,6.7,0.0856290739146476,27,31,4
90602,2011,21866,26210,1039,491500,6.9,0.168981304845479,22,11,-11
90603,2011,38438,19199,1568,471900,2.9,0.0406271159956248,14,16,2
90604,2011,30118,40340,1224,417700,5.9,0.0820277640059494,10,17,7
90605,2011,26654,40159,1198,403200,5.4,0.11466918996987,29,22,-7
90606,2011,23392,32929,1217,366000,7,0.0904673691882535,26,21,-5
90638,2011,30105,48922,1350,466500,4.8,0.0483831405093823,48,53,5
90640,2011,23528,62782,1103,437300,5.6,0.148513905259469,38,30,-8
90650,2011,24050,105348,1215,359900,7.2,0.109608155826404,50,42,-8
90660,2011,22873,62994,1170,375500,5.2,0.114391846842556,42,22,-20
90670,2011,23441,15321,1160,396600,6,0.0686639253312447,124,99,-25
90701,2011,21730,16573,1221,453200,5.4,0.0984734206239063,30,16,-14
90703,2011,35151,49537,1851,619000,4.9,0.0540606011668046,88,94,6
90704,2011,21883,4060,982,819500,5.2,0.133743842364532,1,,
